city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
SantaBarbara_CA,50,64.0,0.0669,0.0001,0.0004,0.0
SantaBarbara_CA,50,inf,0.0409,0.0001,0.0408,0.0001
Louisville_KY,25,8.0,0.0895,0.0,0.0001,0.0
Louisville_KY,25,16.0,0.0851,0.0002,0.0001,0.0
Louisville_KY,25,32.0,0.0866,0.0002,0.0002,0.0
Louisville_KY,25,64.0,0.0867,0.0001,0.0003,0.0
Louisville_KY,25,inf,0.0453,0.0001,0.0452,0.0001
Louisville_KY,50,8.0,0.0894,0.0001,0.0001,0.0
Louisville_KY,50,16.0,0.0877,0.0013,0.0001,0.0
Louisville_KY,50,32.0,0.0863,0.0001,0.0002,0.0
Louisville_KY,50,64.0,0.0866,0.0001,0.0003,0.0
Louisville_KY,50,inf,0.041,0.0001,0.0409,0.0001
Seattle_WA,25,8.0,0.1228,0.0001,0.0001,0.0
Seattle_WA,25,16.0,0.1179,0.0001,0.0001,0.0
Seattle_WA,25,32.0,0.1186,0.0002,0.0002,0.0
Seattle_WA,25,64.0,0.1172,0.0001,0.0004,0.0
Seattle_WA,25,inf,0.0669,0.0001,0.0669,0.0001
Seattle_WA,50,8.0,0.1176,0.0001,0.0001,0.0
Seattle_WA,50,16.0,0.1162,0.0002,0.0001,0.0
Seattle_WA,50,32.0,0.1225,0.0002,0.0002,0.0
Seattle_WA,50,64.0,0.1175,0.0008,0.0004,0.0
Seattle_WA,50,inf,0.0661,0.0001,0.0661,0.0001
Lincoln_NE,25,8.0,0.0711,0.0003,0.0001,0.0
Lincoln_NE,25,16.0,0.0711,0.0001,0.0001,0.0
Lincoln_NE,25,32.0,0.0704,0.0002,0.0002,0.0
Lincoln_NE,25,64.0,0.0706,0.0001,0.0004,0.0
Lincoln_NE,25,inf,0.0451,0.0001,0.0451,0.0001
Lincoln_NE,50,8.0,0.0744,0.0001,0.0001,0.0
Lincoln_NE,50,16.0,0.0705,0.0002,0.0001,0.0
Lincoln_NE,50,32.0,0.0724,0.0012,0.0002,0.0
Lincoln_NE,50,64.0,0.0706,0.0001,0.0004,0.0
Lincoln_NE,50,inf,0.0448,0.0001,0.0448,0.0001
Pleasanton_CA,25,8.0,0.0211,0.0003,0.0001,0.0
Pleasanton_CA,25,16.0,0.0212,0.0,0.0001,0.0
Pleasanton_CA,25,32.0,0.0214,0.0,0.0002,0.0
Pleasanton_CA,25,64.0,0.0215,0.0,0.0003,0.0
Pleasanton_CA,25,inf,0.0134,0.0,0.0134,0.0
Pleasanton_CA,50,8.0,0.0219,0.0001,0.0001,0.0
